Project,Outputs,Project Status,Start date,End date,Duration (days),% Done,No. associated outputs,No. completed outputs,Total tasks,Image,FacultyEngagement,Faculty Engagement
Music Theory in the Plural,"MUSE Project Charter,MUSE Whitepaper",Active Collaboration,8/25/2025,4/30/2026,248,0%,1,0,2,,,"MTitP Project Design Workshop,Music Theory in the Plural Data Update,Music Theory in the Plural data consult"
Marxism’s Marx,"Citing Marx Project Charter,Annotated Text from DNZ,Technical Specification Document,Citation Detection Pipeline,Citations Dataset,Citations Data Paper,Citing Marx Project Whitepaper",Active Collaboration,9/2/2024,3/27/2026,571,43%,4,3,7,,,"Citing Marx Team Meeting,Citing Marx Team Meeting,Citing Marx Team Meeting,Marx Charter Part 2,Marx Charter Part 1,Citing Marx Team Meeting"
Simulating Risks,"Simulating Risk Project Charter,Simulating risk attitudes and rationality using agent-based modeling,Scholarly article (Philosophy) for publications,DH article on modeling - Debates in DH piece,Theorizing risk attitudes and rationality using agent based modeling,Simulation (Technical) Paper",Active Collaboration,6/5/2023,10/31/2025,879,50%,6,3,6,,,
R&D,"Undate Software Paper,undate,ISFDB Dataset,CHR Lightning Talk,CHR Lightning Talk ,Undate in Action presentation,Of Time and Topics (Books),Dissertation to Book,Community Code Review in the Digital Humanities,Undate: computing with uncertain and partially-unknown dates",CDH Research,1/1/2025,7/18/2025,198,50%,10,5,10,,,
🌐Princeton Prosody Archive,"Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,corppa,PPA Full-text dataset data paper,PPA Found poems data paper,Annotation Data Set with Data Essay,Walled Gardens Cambridge Elements volume,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,Princeton Prosody Archive Website,ppa-django,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,Elizabeth Barrett Browning's Pathways through the PPA,Coventry Patmore and the Problem of Excerpts,CDH Project Charter — Princeton Prosody Archive 2017-18,PPA Full Text Dataset and Metadata,PPA Found Poems Dataset,Poetry's Data,Princeton Prosody Archive: Rebuilding the Collection and User Interface,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library (poster)","Active Legacy Project,Active Collaboration",5/14/2025,8/27/2027,835,68%,19,13,19,,,"PPA Publishing Goals,Final PPA Website Features Conversation,Ends of Prosody Conference Day 2,Ends of Prosody Conference Day 3,Ends of Prosody / RSE meeting,PPA Debrief and Ending Planning"
Open HTR,"HTR2HPC Project Charter,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Software for Integration",Active Collaboration,6/17/2024,8/30/2025,439,100%,3,3,3,,,"HTR2HPC Checkin,meeting: HTR2HPC first release"
🌐Shakespeare and Company,"mep-django, Shakespeare and Company Project Datasets: v2.0,""Shakespeare and Company Project Dataset: Lending Library Members, Books, Events: v1.0"",Shakespeare and Company Project Dataset: Lending Library Members: v1.0,Shakespeare and Company Project Dataset: Lending Library Events: v1.0,Shakespeare and Company Project Dataset: Lending Library Books: v1.0,Shakespeare and Company Website,The World of Shakespeare and Company: An Introduction,""Missing Data, Speculative Reading"",Shakespeare and Company Project Data Sets,Shakespeare and Company Project,A Counterfactual Canon,Documents to Data: the evolution of approaches to a library archive,"" Shakespeare and Company Project Data Sets, Version 2.0""",Active Legacy Project,2/24/2025,12/19/2025,298,100%,14,14,14,,,
🌐Geniza,"geniza,""CDH Project Charter – Princeton Geniza Project Year 2, 2021-2022"",CDH Project Charter – Princeton Geniza Project 2020-2021,Princeton Geniza Website,annotorious-tahqiq,Geniza Datasets,Geniza Data Essay",Affiliated Lab,,,NaN,100%,3,7,7,,,"CDH + PGP Maintenance,PGP Dataset essay coworking,PGP Datasets Revision,PGP Dataset Essay Working Session,PGP Dataset Essay ,PGP dataset coworking,Quarterly check-in with RSK,CDH - RC Geniza Handoff,PGP Dataset Publishing Conversation,Geniza Lab (Rachel) and RC Check In,Geniza Updates Planning"
🌐Derrida’s Margins,"Derrida's Margins web archive, Derrida's Margins datasets: v1.1,CDH Project Charter – Derrida's Margins 2016-17,Derrida's Margins website",Completed Projects,,,NaN,100%,4,4,4,,,
🌐Lunaapahkiing Princeton Timetree,lenape-timetree,Completed Projects,,,NaN,100%,0,1,1,,,
Internal Projects / PM and Process,"djiffy,""""""Built by CDH"""" Long Term Software Agreement"",Project Management 101,piffle,Modeling Project Management through Charters,django-pucas,Data Beyond Vision,What If You Could Touch Data?,Data Beyond Vision,""Everything, All at Once, Yesterday: Creating Research Software with Humanities Faculty""",CDH Research,,,NaN,100%,10,10,10,,,
"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project","""Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset"",CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20",Completed Projects,,,NaN,100%,2,2,2,,,
bitKlavier,"bitKlavier,CDH Project Charter — bitKlavier 2017-18,Preparing the Digital Piano: Introducing bitKlavier,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier",Completed Projects,,,NaN,100%,4,4,4,,,
